Time: 2008-12-19 14:23:21.323819
Chromosome: 10
Pop: CHB
Examining 500 focal loci
Replicates in randomization test: 500
hapmap_dataset:Skipped 119427 SNPs w/ missing or monomorhic data; kept 92435
 dist      RH      ES  RHwins  ESwins    nsig
  8.5  0.0560  0.0360       0       1       4
  1.5  0.0120  0.0240       1       1       5
  3.2  0.0460  0.3500       2       1       6
 10.7  0.0480  0.0120       2       2       7
  0.6  0.0880  0.0240       2       3       8
 12.2  0.0340  0.0580       3       3       9
 16.1  0.0220  0.0320       4       3      10
  0.1  0.0060  0.0100       5       3      11
 12.5  0.0280  0.0740       6       3      15
 10.9  0.0200  0.0420       7       3      16
  9.6  0.1740  0.0440       7       4      18
  5.4  0.0420  0.0260       7       5      20
  8.4  0.0460  0.0200       7       6      21
 10.6  0.0640  0.0320       7       7      22
  6.7  0.0120  0.0400       8       7      25
 19.4  0.0140  0.0480       9       7      26
  1.2  0.0960  0.0340       9       8      27
 10.0  0.0260  0.0620      10       8      28
 10.6  0.0780  0.0320      10       9      31
 15.0  0.0160  0.0300      11       9      34
 17.7  0.0080  0.0160      12       9      36
  9.4  0.0320  0.0840      13       9      37
  2.2  0.0580  0.0140      13      10      39
 10.7  0.0760  0.0480      13      11      41
 19.6  0.1000  0.0240      13      12      43
  8.9  0.0520  0.0320      13      13      45
 13.9  0.0880  0.0440      13      14      46
 16.3  0.1740  0.0420      13      15      48
  2.1  0.0200  0.0460      14      15      49
  2.4  0.0100  0.0020      14      16      50
  8.9  0.1100  0.0400      14      17      51
  4.5  0.0300  0.1440      15      17      53
 15.0  0.0480  0.0580      16      17      54
  3.9  0.0100  0.0000      16      18      55
  1.7  0.0180  0.0100      16      19      56
  1.5  0.0060  0.0040      16      20      58
  6.3  0.0340  0.2800      17      20      63
 17.4  0.0220  0.0100      17      21      64
  0.0  0.1020  0.0480      17      22      65
  8.5  0.0380  0.0660      18      22      66
 13.2  0.0220  0.0880      19      22      68
  3.5  0.0440  0.0820      20      22      70
 12.7  0.0440  0.0640      21      22      71
  0.1  0.0000  0.0280      22      22      72
  0.6  0.2780  0.0260      22      23      73
  0.6  0.0840  0.0060      22      24      75
  3.5  0.0240  0.0020      22      25      76
 14.5  0.0100  0.0060      22      26      77
 14.4  0.0260  0.0080      22      27      81
  8.0  0.0840  0.0440      22      28      83
  0.7  0.0020  0.0000      22      29      85
 12.0  0.0600  0.0100      22      30      86
 18.7  0.0380  0.0420      23      30      87
 19.7  0.0420  0.0160      23      31      91
 10.7  0.0100  0.0000      23      32      93
  0.2  0.0440  0.0340      23      33      94
  4.3  0.0460  0.1420      24      33      95
  0.9  0.0480  0.0280      24      34      97
  9.1  0.0320  0.0260      24      35      98
 15.6  0.0020  0.0360      25      35      99
 15.7  0.0540  0.0320      25      36     100
  7.5  0.0060  0.0100      26      36     102
 18.7  0.0340  0.0880      27      36     104
  5.3  0.0240  0.0180      27      37     105
 12.0  0.1600  0.0280      27      38     107
 19.7  0.2180  0.0460      27      39     109
  1.3  0.0240  0.0200      27      40     110
  2.8  0.1900  0.0500      27      41     111
  0.1  0.0360  0.0180      27      42     113
  1.7  0.0240  0.0060      27      43     114
  6.0  0.1000  0.0400      27      44     115
 10.0  0.0340  0.1220      28      44     116
  5.8  0.0200  0.0360      29      44     118
  6.0  0.0460  0.0380      29      45     119
  7.5  0.0400  0.0880      30      45     121
 14.7  0.0960  0.0480      30      46     122
  1.5  0.0220  0.0140      30      47     123
 10.8  0.2360  0.0280      30      48     125
 10.9  0.0340  0.0100      30      49     128
 15.7  0.0280  0.0300      31      49     129
  3.0  0.2020  0.0280      31      50     131
 19.7  0.1120  0.0360      31      51     132
  0.5  0.0100  0.0020      31      52     134
  0.1  0.0040  0.0060      32      52     135
 14.6  0.0180  0.0340      33      52     136
 15.0  0.0180  0.0520      34      52     139
 15.3  0.0120  0.0140      35      52     141
  6.4  0.0720  0.0040      35      53     143
  7.8  0.0360  0.0200      35      54     144
  9.2  0.0680  0.0200      35      55     145
  0.2  0.1000  0.0500      35      56     149
  3.7  0.0380  0.0200      35      57     151
  0.1  0.0000  0.0460      36      57     153
  5.3  0.0680  0.0140      36      58     154
  6.5  0.0420  0.0620      37      58     155
  0.4  0.0040  0.0000      37      59     156
 16.0  0.0620  0.0360      37      60     159
  2.1  0.0340  0.1720      38      60     162
  3.0  0.0440  0.0260      38      61     165
  7.6  0.0380  0.0280      38      62     168
  7.7  0.0440  0.0880      39      62     169
 18.5  0.2720  0.0420      39      63     170
  0.4  0.0020  0.0000      39      64     171
  4.3  0.0180  0.0160      39      65     172
  6.1  0.0060  0.0080      40      65     173
  9.0  0.0180  0.0060      40      66     176
 16.5  0.0220  0.0180      40      67     178
 12.9  0.0600  0.0080      40      68     181
 10.0  0.0500  0.0860      41      68     182
 19.3  0.0440  0.0480      42      68     185
 14.8  0.0080  0.0180      43      68     187
 19.1  0.3820  0.0480      43      69     189
  3.8  0.0340  0.0500      44      69     191
 12.6  0.0320  0.0300      44      70     192
  8.9  0.0500  0.1860      45      70     200
 10.1  0.0760  0.0440      45      71     201
 11.1  0.1300  0.0460      45      72     202
  0.4  0.0100  0.0020      45      73     203
  0.1  0.0100  0.0180      46      73     205
  8.1  0.0720  0.0340      46      74     206
 10.7  0.0300  0.0160      46      75     207
 13.3  0.0860  0.0360      46      76     212
  0.9  0.2660  0.0160      46      77     213
 11.5  0.0140  0.0180      47      77     215
 14.3  0.0420  0.0400      47      78     216
  0.3  0.0100  0.0060      47      79     219
  2.7  0.0480  0.0960      48      79     220
 19.1  0.0760  0.0500      48      80     221
 20.0  0.0260  0.0480      49      80     222
 19.9  0.1100  0.0340      49      81     228
  4.7  0.0380  0.1120      50      81     235
  0.2  0.0280  0.0160      50      82     236
 12.8  0.0340  0.1780      51      82     237
  8.4  0.1220  0.0440      51      83     238
  3.9  0.0460  0.0640      52      83     241
 10.4  0.0260  0.1780      53      83     243
  1.0  0.0360  0.0180      53      84     246
 18.3  0.0020  0.0400      54      84     247
 18.7  0.0120  0.0100      54      85     248
  1.0  0.0880  0.0440      54      86     250
  1.3  0.0500  0.0520      55      86     251
  0.1  0.0240  0.0300      56      86     252
  1.1  0.0040  0.0000      56      87     260
  2.1  0.0560  0.0140      56      88     262
  2.4  0.0600  0.0460      56      89     265
  8.9  0.0500  0.0360      56      90     266
  9.0  0.0020  0.0000      56      91     267
 10.6  0.0220  0.0200      56      92     268
 14.9  0.0060  0.0180      57      92     273
 16.3  0.0280  0.0740      58      92     274
  1.4  0.0360  0.1060      59      92     276
 10.7  0.0240  0.0100      59      93     277
  2.9  0.0380  0.0280      59      94     279
 16.6  0.1420  0.0380      59      95     280
 19.0  0.0460  0.1100      60      95     284
  5.1  0.0120  0.0020      60      96     289
  4.5  0.0280  0.0620      61      96     293
  2.3  0.0560  0.0420      61      97     294
  1.6  0.0880  0.0100      61      98     296
 15.2  0.2600  0.0380      61      99     297
  1.4  0.0740  0.0320      61     100     299
  3.3  0.0180  0.0060      61     101     300
  9.9  0.0080  0.0040      61     102     302
  7.6  0.0820  0.0340      61     103     303
 18.8  0.0440  0.0380      61     104     304
  0.4  0.0220  0.0040      61     105     311
  2.3  0.1920  0.0340      61     106     314
 15.2  0.0480  0.0360      61     107     317
 17.7  0.0420  0.0160      61     108     318
  1.7  0.0300  0.0080      61     109     319
 10.4  0.0240  0.0340      62     109     320
 11.9  0.0020  0.0100      63     109     322
 15.3  0.0440  0.0280      63     110     324
  0.8  0.0020  0.0780      64     110     326
 18.9  0.0300  0.0380      65     110     327
  1.1  0.0340  0.0260      65     111     328
 16.8  0.0380  0.0320      65     112     329
  7.8  0.0200  0.1460      66     112     331
 15.9  0.0420  0.1200      67     112     332
  4.8  0.0100  0.1040      68     112     335
  5.5  0.0080  0.0020      68     113     336
  0.1  0.0420  0.0720      69     113     337
  4.9  0.0120  0.0140      70     113     338
 17.5  0.0360  0.1680      71     113     339
  2.4  0.0340  0.1740      72     113     341
 14.8  0.0420  0.0160      72     114     344
  0.0  0.0720  0.0120      72     115     345
  9.7  0.0140  0.0220      73     115     346
  0.0  0.0100  0.0320      74     115     347
  1.4  0.1160  0.0140      74     116     348
 10.9  0.0640  0.0400      74     117     349
  6.0  0.0340  0.0380      75     117     351
 14.4  0.0700  0.0440      75     118     356
  2.1  0.0240  0.0300      76     118     359
 16.3  0.0340  0.2160      77     118     363
  0.9  0.0300  0.0100      77     119     365
  9.2  0.0240  0.0280      78     119     366
 13.3  0.0500  0.0180      78     120     368
  0.1  0.0200  0.0300      79     120     370
  7.1  0.1180  0.0220      79     121     371
  5.1  0.0020  0.0260      80     121     372
 14.4  0.0040  0.0020      80     122     377
 18.5  0.0640  0.0320      80     123     378
  4.0  0.0180  0.4040      81     123     380
 17.8  0.0600  0.0480      81     124     381
  1.7  0.0160  0.0000      81     125     384
  0.9  0.0040  0.0020      81     126     386
  2.1  0.0420  0.0260      81     127     387
 17.4  0.0020  0.0040      82     127     389
  0.7  0.0220  0.0080      82     128     390
 15.0  0.0220  0.1180      83     128     391
  0.5  0.0900  0.0460      83     129     392
 16.1  0.1140  0.0300      83     130     395
  5.3  0.0260  0.0640      84     130     396
  7.0  0.0360  0.0080      84     131     397
  0.3  0.0100  0.0000      84     132     400
  8.3  0.0880  0.0340      84     133     402
  5.9  0.0520  0.0340      84     134     406
 17.3  0.0520  0.0220      84     135     407
  8.3  0.0480  0.0200      84     136     408
 17.3  0.0640  0.0160      84     137     409
  9.3  0.0880  0.0420      84     138     410
 18.5  0.0220  0.0580      85     138     411
  0.2  0.0480  0.0380      85     139     413
  1.4  0.0680  0.0340      85     140     414
  8.9  0.0540  0.0440      85     141     419
 18.0  0.4840  0.0200      85     142     420
  0.2  0.0060  0.0100      86     142     421
  1.4  0.0560  0.0440      86     143     422
  8.4  0.0980  0.0460      86     144     423
  9.4  0.0600  0.0200      86     145     426
  0.3  0.0020  0.0040      87     145     428
  1.7  0.0220  0.0880      88     145     429
  0.0  0.0080  0.0040      88     146     433
 13.6  0.0820  0.0360      88     147     434
 15.2  0.3640  0.0420      88     148     436
 19.2  0.0040  0.0000      88     149     437
  6.8  0.1360  0.0080      88     150     438
  9.7  0.0060  0.0080      89     150     440
 11.8  0.0720  0.0340      89     151     441
 14.0  0.0760  0.0240      89     152     442
 16.3  0.0800  0.0220      89     153     443
 11.8  0.0560  0.0300      89     154     445
  7.8  0.0500  0.0420      89     155     447
 12.2  0.0580  0.0420      89     156     448
  0.1  0.0040  0.0000      89     157     453
  0.5  0.0000  0.0020      90     157     454
  2.8  0.0240  0.0800      91     157     458
 10.0  0.0340  0.0240      91     158     461
  2.4  0.0900  0.0220      91     159     462
  0.1  0.0180  0.0080      91     160     464
 15.2  0.0640  0.0400      91     161     465
  0.8  0.0080  0.0000      91     162     466
